Length (nm), Thickness (nm), Width (nm), Inductance (H)
54.545455, 70.000000, 110.000000, 1.450449424175e-07
54.545455, 70.000000, 120.000000, 1.422981648301e-07
54.545455, 70.000000, 130.000000, 1.401061726193e-07
54.545455, 70.000000, 140.000000, 1.384148064521e-07
54.545455, 80.000000, 50.000000, 1.697960891711e-07
54.545455, 80.000000, 60.000000, 1.630411614070e-07
54.545455, 80.000000, 70.000000, 1.573092537763e-07
54.545455, 80.000000, 80.000000, 1.524682162154e-07
54.545455, 80.000000, 90.000000, 1.484099585188e-07
54.545455, 80.000000, 100.000000, 1.450449424175e-07
54.545455, 80.000000, 110.000000, 1.422981648301e-07
54.545455, 80.000000, 120.000000, 1.401061726193e-07
54.545455, 80.000000, 130.000000, 1.384148064521e-07
54.545455, 80.000000, 140.000000, 1.371774699917e-07
54.545455, 90.000000, 50.000000, 1.630411614070e-07
54.545455, 90.000000, 60.000000, 1.573092537763e-07
54.545455, 90.000000, 70.000000, 1.524682162154e-07
54.545455, 90.000000, 80.000000, 1.484099585188e-07
54.545455, 90.000000, 90.000000, 1.450449424175e-07
54.545455, 90.000000, 100.000000, 1.422981648301e-07
54.545455, 90.000000, 110.000000, 1.401061726193e-07
54.545455, 90.000000, 120.000000, 1.384148064521e-07
54.545455, 90.000000, 130.000000, 1.371774699917e-07
54.545455, 90.000000, 140.000000, 1.363537841442e-07
54.545455, 100.000000, 50.000000, 1.573092537763e-07
54.545455, 100.000000, 60.000000, 1.524682162154e-07
54.545455, 100.000000, 70.000000, 1.484099585188e-07
54.545455, 100.000000, 80.000000, 1.450449424175e-07
54.545455, 100.000000, 90.000000, 1.422981648301e-07
54.545455, 100.000000, 100.000000, 1.401061726193e-07
54.545455, 100.000000, 110.000000, 1.384148064521e-07
54.545455, 100.000000, 120.000000, 1.371774699917e-07
54.545455, 100.000000, 130.000000, 1.363537841442e-07
54.545455, 100.000000, 140.000000, 1.359085279271e-07
56.060606, 10.000000, 50.000000, 2.721390868806e-07
56.060606, 10.000000, 60.000000, 2.491575995638e-07
56.060606, 10.000000, 70.000000, 2.302999696876e-07
56.060606, 10.000000, 80.000000, 2.145920112050e-07
56.060606, 10.000000, 90.000000, 2.013685567220e-07
56.060606, 10.000000, 100.000000, 1.901551694098e-07
56.060606, 10.000000, 110.000000, 1.806015426605e-07
56.060606, 10.000000, 120.000000, 1.724416497745e-07
56.060606, 10.000000, 130.000000, 1.654687039924e-07
56.060606, 10.000000, 140.000000, 1.595187783436e-07
56.060606, 20.000000, 50.000000, 2.491575995638e-07
56.060606, 20.000000, 60.000000, 2.302999696876e-07
56.060606, 20.000000, 70.000000, 2.145920112050e-07
56.060606, 20.000000, 80.000000, 2.013685567220e-07
56.060606, 20.000000, 90.000000, 1.901551694098e-07
56.060606, 20.000000, 100.000000, 1.806015426605e-07
56.060606, 20.000000, 110.000000, 1.724416497745e-07
56.060606, 20.000000, 120.000000, 1.654687039924e-07
56.060606, 20.000000, 130.000000, 1.595187783436e-07
56.060606, 20.000000, 140.000000, 1.544597227648e-07
56.060606, 30.000000, 50.000000, 2.302999696876e-07
56.060606, 30.000000, 60.000000, 2.145920112050e-07
56.060606, 30.000000, 70.000000, 2.013685567220e-07
56.060606, 30.000000, 80.000000, 1.901551694098e-07
56.060606, 30.000000, 90.000000, 1.806015426605e-07
56.060606, 30.000000, 100.000000, 1.724416497745e-07
56.060606, 30.000000, 110.000000, 1.654687039924e-07
56.060606, 30.000000, 120.000000, 1.595187783436e-07
56.060606, 30.000000, 130.000000, 1.544597227648e-07
56.060606, 30.000000, 140.000000, 1.501834470501e-07
56.060606, 40.000000, 50.000000, 2.145920112050e-07
56.060606, 40.000000, 60.000000, 2.013685567220e-07
56.060606, 40.000000, 70.000000, 1.901551694098e-07
56.060606, 40.000000, 80.000000, 1.806015426605e-07
56.060606, 40.000000, 90.000000, 1.724416497745e-07
56.060606, 40.000000, 100.000000, 1.654687039924e-07
56.060606, 40.000000, 110.000000, 1.595187783436e-07
56.060606, 40.000000, 120.000000, 1.544597227648e-07
56.060606, 40.000000, 130.000000, 1.501834470501e-07
56.060606, 40.000000, 140.000000, 1.466004129308e-07
56.060606, 50.000000, 50.000000, 2.013685567220e-07
56.060606, 50.000000, 60.000000, 1.901551694098e-07
56.060606, 50.000000, 70.000000, 1.806015426605e-07
56.060606, 50.000000, 80.000000, 1.724416497745e-07
56.060606, 50.000000, 90.000000, 1.654687039924e-07
56.060606, 50.000000, 100.000000, 1.595187783436e-07
56.060606, 50.000000, 110.000000, 1.544597227648e-07
56.060606, 50.000000, 120.000000, 1.501834470501e-07
56.060606, 50.000000, 130.000000, 1.466004129308e-07
56.060606, 50.000000, 140.000000, 1.436356173254e-07
56.060606, 60.000000, 50.000000, 1.901551694098e-07
56.060606, 60.000000, 60.000000, 1.806015426605e-07
56.060606, 60.000000, 70.000000, 1.724416497745e-07
56.060606, 60.000000, 80.000000, 1.654687039924e-07
56.060606, 60.000000, 90.000000, 1.595187783436e-07
56.060606, 60.000000, 100.000000, 1.544597227648e-07
56.060606, 60.000000, 110.000000, 1.501834470501e-07
56.060606, 60.000000, 120.000000, 1.466004129308e-07
56.060606, 60.000000, 130.000000, 1.436356173254e-07
56.060606, 60.000000, 140.000000, 1.412256070965e-07
56.060606, 70.000000, 50.000000, 1.806015426605e-07
56.060606, 70.000000, 60.000000, 1.724416497745e-07
56.060606, 70.000000, 70.000000, 1.654687039924e-07
56.060606, 70.000000, 80.000000, 1.595187783436e-07
56.060606, 70.000000, 90.000000, 1.544597227648e-07
56.060606, 70.000000, 100.000000, 1.501834470501e-07
56.060606, 70.000000, 110.000000, 1.466004129308e-07
56.060606, 70.000000, 120.000000, 1.436356173254e-07
56.060606, 70.000000, 130.000000, 1.412256070965e-07
56.060606, 70.000000, 140.000000, 1.393162229113e-07
56.060606, 80.000000, 50.000000, 1.724416497745e-07
56.060606, 80.000000, 60.000000, 1.654687039924e-07
56.060606, 80.000000, 70.000000, 1.595187783436e-07
56.060606, 80.000000, 80.000000, 1.544597227648e-07
56.060606, 80.000000, 90.000000, 1.501834470501e-07
56.060606, 80.000000, 100.000000, 1.466004129308e-07
56.060606, 80.000000, 110.000000, 1.436356173254e-07
56.060606, 80.000000, 120.000000, 1.412256070965e-07
56.060606, 80.000000, 130.000000, 1.393162229113e-07
56.060606, 80.000000, 140.000000, 1.378608684330e-07
56.060606, 90.000000, 50.000000, 1.654687039924e-07
56.060606, 90.000000, 60.000000, 1.595187783436e-07
56.060606, 90.000000, 70.000000, 1.544597227648e-07
56.060606, 90.000000, 80.000000, 1.501834470501e-07
56.060606, 90.000000, 90.000000, 1.466004129308e-07
56.060606, 90.000000, 100.000000, 1.436356173254e-07
56.060606, 90.000000, 110.000000, 1.412256070965e-07
56.060606, 90.000000, 120.000000, 1.393162229113e-07
56.060606, 90.000000, 130.000000, 1.378608684330e-07
56.060606, 90.000000, 140.000000, 1.368191645674e-07
56.060606, 100.000000, 50.000000, 1.595187783436e-07
56.060606, 100.000000, 60.000000, 1.544597227648e-07
56.060606, 100.000000, 70.000000, 1.501834470501e-07
