Wgr,Rgrr,Rgrt,Rgrb,Rgrl,Rgr
7.196599999999778978e-07,8.088963012044098973e+07,3.559143725299403071e+06,3.559143725299403071e+06,8.088963012044098973e+07,1.704570749664464733e+06
7.198399999999778902e-07,8.088831767992295325e+07,3.559085977916609496e+06,3.559085977916609496e+06,8.088831767992295325e+07,1.704543092871939298e+06
7.200199999999778825e-07,8.088700622360433638e+07,3.559028273838590365e+06,3.559028273838590365e+06,8.088700622360433638e+07,1.704515456819248153e+06
7.201999999999778749e-07,8.088569575050130486e+07,3.558970613022056874e+06,3.558970613022056874e+06,8.088569575050130486e+07,1.704487841485659359e+06
7.203799999999778672e-07,8.088438625963124633e+07,3.558912995423774701e+06,3.558912995423774701e+06,8.088438625963124633e+07,1.704460246850466821e+06
7.205599999999778596e-07,8.088307775001281500e+07,3.558855421000563540e+06,3.558855421000563540e+06,8.088307775001281500e+07,1.704432672892990289e+06
7.207399999999778519e-07,8.088177022066587210e+07,3.558797889709297568e+06,3.558797889709297568e+06,8.088177022066587210e+07,1.704405119592575589e+06
7.209199999999778443e-07,8.088046367061147094e+07,3.558740401506904047e+06,3.558740401506904047e+06,8.088046367061147094e+07,1.704377586928594159e+06
7.210999999999778366e-07,8.087915809887191653e+07,3.558682956350363791e+06,3.558682956350363791e+06,8.087915809887191653e+07,1.704350074880442349e+06
7.212799999999778290e-07,8.087785350447072089e+07,3.558625554196711164e+06,3.558625554196711164e+06,8.087785350447072089e+07,1.704322583427543519e+06
7.214599999999778213e-07,8.087654988643261790e+07,3.558568195003034547e+06,3.558568195003034547e+06,8.087654988643261790e+07,1.704295112549346173e+06
7.216399999999778137e-07,8.087524724378359318e+07,3.558510878726477735e+06,3.558510878726477735e+06,8.087524724378359318e+07,1.704267662225324428e+06
7.218199999999778060e-07,8.087394557555079460e+07,3.558453605324234348e+06,3.558453605324234348e+06,8.087394557555079460e+07,1.704240232434978010e+06
7.219999999999777984e-07,8.087264488076260686e+07,3.558396374753553886e+06,3.558396374753553886e+06,8.087264488076260686e+07,1.704212823157832492e+06
7.221799999999777907e-07,8.087134515844860673e+07,3.558339186971738003e+06,3.558339186971738003e+06,8.087134515844860673e+07,1.704185434373437893e+06
